DAY,Division,Batch,10:30 TO 11:30,11:30 TO 12:30,12:30 TO 12:50,12:50 TO 1:50,1:50 TO 2:50,2:50 TO 3:50,3:50 TO 4:00,4:00 TO 5:00,5:00 TO 6:00
MON,A,1,MAD,ETI,-,CPE - PR,CPE - PR,MGT,-,MAD,MAD
MON,A,2,MAD,ETI,-,EDE - PR,EDE - PR,MGT,-,WBP,WBP
MON,A,3,MAD,ETI,-,-,-,MGT,-,CPE,CPE
MON,B,1,WBP - PR,WBP - PR,-,PWP,MAD,ETI,-,MGT,-
MON,B,2,PWP - PR,PWP - PR,-,PWP,MAD,ETI,-,MGT,-
TUE,A,1,MAD,WBP,-,MAD - PR,MAD - PR,PWP,-,WBP - PR,WBP - PR
TUE,A,2,MAD,WBP,-,-,-,PWP,-,MAD - PR,MAD - PR
TUE,A,3,MAD,WBP,-,CPE - PR,CPE - PR,PWP,-,PWP - PR,PWP - PR
TUE,B,1,PWP - PR,PWP - PR,-,PWP,WBP,MAD,-,-,-
TUE,B,2,EDE - PR,EDE - PR,-,PWP,WBP,MAD,-,MAD - PR,MAD - PR
WED,A,1,PWP,MGT,-,MAD,EDE - PR,EDE - PR,-,PWP - PR,PWP - PR
WED,A,2,PWP,MGT,-,MAD,PWP - PR,PWP - PR,-,CPE - PR,CPE - PR
WED,A,3,PWP,MGT,-,MAD,MAD - PR,MAD - PR,-,MAD - PR,MAD - PR
WED,B,1,MAD - PR,MAD - PR,-,PWP,MGT,MAD,-,EDE - PR,EDE - PR
WED,B,2,WBP - PR,WBP - PR,-,PWP,MGT,MAD,-,-,-
THU,A,1,-,-,-,PWP,ETI,MGT,-,CPE - PR,CPE - PR
THU,A,2,MAD - PR,MAD - PR,-,PWP,ETI,MGT,-,-,-
THU,A,3,WBP - PR,WBP - PR,-,PWP,ETI,MGT,-,EDE - PR,EDE - PR
THU,B,1,EDE,ETI,-,MGT,MAD - PR,MAD - PR,-,CPE - PR,CPE - PR
THU,B,2,EDE,ETI,-,MGT,CPE - PR,CPE - PR,-,CPE - PR,CPE - PR
FRI,A,1,WBP,EDE,-,WBP,-,-,-,MGT,-
FRI,A,2,WBP,EDE,-,WBP,CPE - PR,CPE - PR,-,MGT,-
FRI,A,3,WBP,EDE,-,WBP,CPE - PR,CPE - PR,-,MGT,-
FRI,B,1,-,-,-,EDE,WBP,WBP,-,ETI,-
FRI,B,2,MAD - PR,MAD - PR,-,EDE,WBP,WBP,-,ETI,-
SAT,A,1,CPE,CPE,-,CPE,CPE,CPE,-,CPE,CPE
SAT,A,2,CPE,CPE,-,CPE,CPE,CPE,-,CPE,CPE
SAT,A,3,CPE,CPE,-,CPE,CPE,CPE,-,CPE,CPE
SAT,B,1,-,-,-,-,-,-,-,-,-
SAT,B,2,-,-,-,-,-,-,-,-,-
